"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.484375530E-1,2.018909603E-1,2.596177347E-2,1.731802970E-1,2.672552877E-1
3.563655530E-1,2.205223590E-1,1.985312067E-2,1.621847153E-1,2.744597222E-1
3.577665530E-1,2.205223590E-1,1.985312067E-2,1.621847153E-1,2.744597222E-1
3.656725530E-1,2.156354338E-1,9.773843922E-3,1.392772794E-1,2.568897212E-1
3.670175530E-1,2.156354338E-1,9.773843922E-3,1.392772794E-1,2.568897212E-1
3.749595530E-1,1.065959856E-1,3.054326167E-3,6.475171447E-2,1.247590381E-1
3.763015530E-1,1.065959856E-1,3.054326167E-3,6.475171447E-2,1.247590381E-1
3.845735530E-1,-9.162978269E-3,-1.435533352E-2,-1.588249579E-2,2.328710896E-2
3.859125530E-1,-9.162978269E-3,-1.435533352E-2,-1.588249579E-2,2.328710896E-2
3.939905530E-1,-2.596177347E-2,-1.771509275E-2,-8.857546374E-3,3.265416238E-2
3.953305530E-1,-2.596177347E-2,-1.771509275E-2,-8.857546374E-3,3.265416238E-2
4.031825530E-1,-1.802052557E-2,-2.657263726E-2,6.108652335E-3,3.268271755E-2
4.045005530E-1,-1.802052557E-2,-2.657263726E-2,6.108652335E-3,3.268271755E-2
4.123945530E-1,5.803219974E-3,-2.474004216E-2,1.985312067E-2,3.224737894E-2
4.137395530E-1,5.803219974E-3,-2.474004216E-2,1.985312067E-2,3.224737894E-2
4.216255530E-1,3.145955876E-2,-7.635815535E-3,2.443460934E-2,4.055933492E-2
4.230435530E-1,3.145955876E-2,-7.635815535E-3,2.443460934E-2,4.055933492E-2
4.309305530E-1,5.161811411E-2,1.099557430E-2,1.954768784E-2,5.628005383E-2
4.322555530E-1,5.161811411E-2,1.099557430E-2,1.954768784E-2,5.628005383E-2
4.403185530E-1,5.803219974E-2,2.779436857E-2,6.108652335E-3,6.463419191E-2
4.417095530E-1,5.803219974E-2,2.779436857E-2,6.108652335E-3,6.463419191E-2
4.496295530E-1,5.497787148E-2,2.718350291E-2,3.054326167E-3,6.140715016E-2
4.509655530E-1,5.497787148E-2,2.718350291E-2,3.054326167E-3,6.140715016E-2
4.588895530E-1,5.345070735E-2,2.138028294E-2,-3.054326167E-3,5.764914156E-2
4.601745530E-1,5.345070735E-2,2.138028294E-2,-3.054326167E-3,5.764914156E-2
4.677415530E-1,5.589416996E-2,1.527163107E-2,-4.886921961E-3,5.814862816E-2
4.685925530E-1,5.589416996E-2,1.527163107E-2,-4.886921961E-3,5.814862816E-2
4.770715530E-1,6.047565863E-2,1.588249579E-2,-3.970623948E-3,6.265241267E-2
4.779645530E-1,6.047565863E-2,1.588249579E-2,-3.970623948E-3,6.265241267E-2
4.867895530E-1,6.902777404E-2,2.412917651E-2,-2.138028387E-3,7.315478052E-2
4.877685530E-1,6.902777404E-2,2.412917651E-2,-2.138028387E-3,7.315478052E-2
4.961075530E-1,6.688974798E-2,3.665191308E-2,1.221730490E-3,7.628298462E-2
4.969645530E-1,6.688974798E-2,3.665191308E-2,1.221730490E-3,7.628298462E-2
5.050345530E-1,6.627888232E-2,4.428773001E-2,6.108652335E-3,7.994753845E-2
5.058985530E-1,6.627888232E-2,4.428773001E-2,6.108652335E-3,7.994753845E-2
5.143545530E-1,6.536258012E-2,3.573561832E-2,4.581489135E-3,7.463438443E-2
5.152175530E-1,6.536258012E-2,3.573561832E-2,4.581489135E-3,7.463438443E-2
5.236885530E-1,5.925392732E-2,2.107485011E-2,1.863138936E-2,6.559196506E-2
5.245365530E-1,5.925392732E-2,2.107485011E-2,1.863138936E-2,6.559196506E-2
5.330405530E-1,5.192354694E-2,7.024950348E-3,2.046398632E-2,5.625103902E-2
5.339015530E-1,5.192354694E-2,7.024950348E-3,2.046398632E-2,5.625103902E-2
5.423295530E-1,5.375614017E-2,1.130100712E-2,1.649336144E-2,5.735386944E-2
5.431835530E-1,5.375614017E-2,1.130100712E-2,1.649336144E-2,5.735386944E-2
5.516505530E-1,5.100724846E-2,2.321287990E-2,7.024950348E-3,5.647943976E-2
5.525545530E-1,5.100724846E-2,2.321287990E-2,7.024950348E-3,5.647943976E-2
5.609725530E-1,4.306599870E-2,3.237585723E-2,6.719517522E-3,5.429574838E-2
5.618315530E-1,4.306599870E-2,3.237585723E-2,6.719517522E-3,5.429574838E-2
5.707155530E-1,3.970624134E-2,2.657263726E-2,2.138028387E-3,4.782532611E-2
5.716635530E-1,3.970624134E-2,2.657263726E-2,2.138028387E-3,4.782532611E-2
5.796205530E-1,2.290744707E-2,1.252273750E-2,-2.138028387E-3,2.619429806E-2
